Using cpu device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
---------------------------------
| rollout/           |          |
|    explained_variance   | 0.895       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.701       |
|    n_updates            | 11550       |
|    policy_gradient_loss | -0.0463     |
|    std                  | 0.269       |
|    value_loss           | 3.52        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | 109         |
| time/                   |             |
|    fps                  | 163         |
|    iterations           | 1157        |
|    time_elapsed         | 14459       |
|    total_timesteps      | 2369536     |
| train/                  |             |
|    approx_kl            | 0.099715516 |
|    clip_fraction        | 0.512       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.49       |
|    explained_variance   | 0.92        |
|    learning_rate        | 0.0003      |
|    loss                 | 1.29        |
|    n_updates            | 11560       |
|    policy_gradient_loss | -0.0382     |
|    std                  | 0.268       |
|    value_loss           | 1.97        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | 110         |
| time/                   |             |
|    fps                  | 163         |
|    iterations           | 1158        |
|    time_elapsed         | 14471       |
|    total_timesteps      | 2371584     |
| train/                  |             |
|    approx_kl            | 0.098215714 |
|    clip_fraction        | 0.488       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.475      |
|    explained_variance   | 0.909       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.86        |
|    n_updates            | 11570       |
|    policy_gradient_loss | -0.0417     |
|    std                  | 0.268       |
|    value_loss           | 2.75        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | 109         |
| time/                   |             |
|    fps                  | 163         |
|    iterations           | 1159        |
|    time_elapsed         | 14483       |
|    total_timesteps      | 2373632     |
| train/                  |             |
|    approx_kl            | 0.083107166 |
|    clip_fraction        | 0.502       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.471      |
|    explained_variance   | 0.917       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.766       |
|    n_updates            | 11580       |
|    policy_gradient_loss | -0.0369     |
|    std                  | 0.267       |
|    value_loss           | 2.86        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | 109         |
| time/                   |             |
|    fps                  | 163         |
|    iterations           | 1160        |
|    time_elapsed         | 14494       |
|    total_timesteps      | 2375680     |
| train/                  |             |
|    approx_kl            | 0.089303374 |
|    clip_fraction        | 0.516       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.425      |
|    explained_variance   | 0.949       |
|    learning_rate        | 0.0003      |
|    loss                 | 1.32        |
|    n_updates            | 11590       |
|    policy_gradient_loss | -0.0377     |
|    std                  | 0.265       |
|    value_loss           | 3.23        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | 109         |
| time/                   |             |
|    fps                  | 163         |
|    iterations           | 1161        |
|    time_elapsed         | 14506       |
|    total_timesteps      | 2377728     |
